STATUS,CONTAIN,DATE,CAPS_COUNT,WORDS,NUMBER_COUNTS,CAPS_RATIO,NUMBER_RATIO,TIME,TIME_OF_DAY,NIGHT
spam,Mau nonton film bioskop di rumah? Cukup tekan *123*6# dan pilih film yang kamu suka SPI1,12/15/2017 11:06,1,17,2,0.058823529,0.117647059,11,DAY,FALSE
ham,Ok,10/31/2017 17:15,0,1,0,0,0,17,DAY,FALSE
spam,Hanya utk kamu! Dptkan pulsa SOS Rp10000 utk dipakai ke semua operator sd 7hr. Pembayaran Rp10000 & BeaJasa Rp3000 yg dipotong saat isi Pulsa. Balas YA ke 505 /tkn*505#,3/24/2018 12:15,2,29,2,0.068965517,0.068965517,12,DAY,FALSE
ham,01/02/2018 12:27:16 Ref 0201026669 Passcode 5353 untuk LOGIN Go Mobile CIMB Niaga. Passcode bersifat RAHASIA. Jangan beri ke siapapun!,2/1/2018 12:27,3,23,8,0.130434783,0.347826087,12,DAY,FALSE
ham,Ok,10/29/2017 21:06,0,1,0,0,0,21,NIGHT,TRUE
ham,"1 hari lg prpanjangan Internet 2GB Rp45rb-30hr. Jgn lupa isi ulang pulsa utk dpt BONUS KUOTA sd 10GB di semua jaringan, DataRollover & trhindar tarif perKB. Ce",12/27/2017 5:45,4,27,1,0.148148148,0.037037037,5,MORNING,FALSE
spam,Menangkan Smartphone keren! Cukup dgn nonton film dan serial di apps IFLIX selama mungkin (Periode 7-27 Agustus 2017). Unduh iflix di http://im3.do/iflix CVI1,8/7/2017 15:10,2,27,3,0.074074074,0.111111111,15,DAY,FALSE
spam,"Paket internet 8 GB, hanya Rp 160rb, berlaku 30 hari. Ketik D22 ke 929 sd 07/03/18.",3/5/2018 9:07,1,18,6,0.055555556,0.333333333,9,MORNING,FALSE
ham,"kalau senin saya masih belum bisa pastikan Bu. Kalau mau senin paling saya baru bisa yang diluar jam kerja, di bawah jam 9 atau di atas jam 6, bagaimana?",4/7/2017 14:27,0,29,2,0,0.068965517,14,DAY,FALSE
spam,Isi Voucher Regular 25K pd 18/09/17 13:13 dr GO-JEK SUKSES. TID:00991900002864547709,9/18/2017 13:13,4,16,6,0.25,0.375,13,DAY,FALSE
ham,"Khusus buat kamu pelanggan IM3Ooredoo,nikmati nonton ribuan film melalui IFLIX,TANPA BIAYA BERLANGGANAN. Download di http://im3.do/iflix & lgs nikmati filmnya!",11/27/2017 19:41,4,23,0,0.173913043,0,19,NIGHT,TRUE
spam,"Hari gini blm pakai iRing?Aktifkan iRing Repvblik-Sayang Sampai Mati (vl17),FREE.Ckp dengan bls YA!",7/8/2017 12:06,1,16,0,0.0625,0,12,DAY,FALSE
ham,"oiya Pak, itu saya naro pinnya salah ya, saya di depan fish bomber/polisi di stasiun tebet",3/10/2017 19:00,0,17,0,0,0,19,NIGHT,TRUE
ham,bisa mba.. disiapkan kucingnya saja.. mau lngsung plng kan ? atau mau diinapkan sehari post operasi mbak ? utk operasinya 400rb.. sdh dengan injeksi anti,3/15/2017 7:07,0,23,0,0,0,7,MORNING,FALSE
ham,TOP GOPAY CUSTOMER 085722688068 200000 ,1/11/2018 21:11,3,5,2,0.6,0.4,21,NIGHT,TRUE
spam,"jngan sampai kelewatan iRing Iis Dahlia-Rindu (SP), FREE lho.Lngsung bls YA aja ya!",7/22/2017 13:35,3,14,0,0.214285714,0,13,DAY,FALSE
ham,U ok ti?,12/29/2017 19:03,0,3,0,0,0,19,NIGHT,TRUE
ham,(CITITRANS)CT: Pesanan anda tujuan Fatmawati-Dipati Ukur pd 2017-09-17 07:15:00 dgn no kursi 5 tercatat dgn kode booking BOAP17091625742,9/16/2017 22:46,3,24,7,0.125,0.291666667,22,NIGHT,TRUE
spam,"Ayam (syp/paha bwh),Nasi,Ades Rp.18.181. Add on CD Bebi Glenn Rp.22.727. Tkr SMS hari ini di CFC TMII. Selama persediaan msh ada. Promo*606#",2/26/2017 19:02,4,28,3,0.142857143,0.107142857,19,NIGHT,TRUE
ham,bisa jadi sih hahaha hix,12/27/2017 12:22,0,5,0,0,0,12,DAY,FALSE
ham,No +6285721812244 tdk berhasil SMS kamu. Jgn sampai kamu melewatkan pesan darinya! Balas YA dgn biaya Rp 399. Info: *123*883#,12/31/2017 17:28,2,21,4,0.095238095,0.19047619,17,DAY,FALSE
spam,Mau telpon tapi pulsa gak cukup? Tekan *505# sekarang juga utk mendapatkan pulsa SOS mulai Rp 2000 sampai Rp 10.000.,9/7/2017 15:39,1,20,3,0.05,0.15,15,DAY,FALSE
spam,Km baru saja akses Apps Sehari-hari terpopuler.Nikmati akses YOUTUBE ga habis habis dgn beli pkt Unlimited HANYA di *123# atau myIM3 http://im3.do/m3,2/22/2018 1:10,2,26,1,0.076923077,0.038461538,1,MORNING,FALSE
spam,"AGAR TDK DIBLOKIR,sgr registrasi ulang kartu prabayar Anda.Tlp dan SMS keluar diblokir mulai 1-31 Maret 2018.Ketik ULANG#NIK#No.KK SMS ke 4444.Info 838",3/16/2018 15:01,7,27,5,0.259259259,0.185185185,15,DAY,FALSE
spam,"Raih kesempatan mendapat Smartphone keren, cukup download iflix skrg & tonton film sebanyak2nya. Unduh iflix di im3.do/iflix Info kunjungi website kami. CVI2",2/21/2017 16:34,1,23,0,0.043478261,0,16,DAY,FALSE
ham,Itu no polisi nya ti,9/24/2017 13:52,0,5,0,0,0,13,DAY,FALSE
spam,Dgn DATA ROLLOVER sisa kuota TIDAK HANGUS. Simpan sisa kuotamu smp 100GB slm SETAHUN. Gratis dgn pkt internet bulanan IM3Ooredoo. Info http://im3.do/dr1222 MAI1,12/22/2017 12:27,7,26,0,0.269230769,0,12,DAY,FALSE
ham,TOP GOPAY CUSTOMER 085722688068 200000 ,6/24/2017 16:42,3,5,2,0.6,0.4,16,DAY,FALSE
ham,Waktu Tunggu konfirmasi dari nomor +6285721812244 habis ,8/17/2017 14:12,0,7,1,0,0.142857143,14,DAY,FALSE
spam,"AGAR TDK DIBLOKIR,sgr registrasi ulang kartu prabayar Anda.Tlp dan SMS keluar diblokir mulai 1-31 Maret 2018.Ketik ULANG#NIK#No.KK SMS ke 4444.Info 838",3/23/2018 18:26,7,27,5,0.259259259,0.185185185,18,NIGHT,TRUE
ham,Sy wa ga sampe2 soalnya,2/28/2018 11:43,0,5,0,0,0,11,DAY,FALSE
ham,sudaaaah thanks alot raan,11/27/2017 9:53,0,4,0,0,0,9,MORNING,FALSE
spam,"AGAR TDK DIBLOKIR,sgr registrasi ulang kartu prabayar Anda.Tlp dan SMS keluar diblokir mulai 1-31 Maret 2018.Ketik ULANG#NIK#No.KK SMS ke 4444.Info 838",3/30/2018 17:34,7,27,5,0.259259259,0.185185185,17,DAY,FALSE
spam,Pulsamu <Rp500.Mau PULSA SOS 10000 bs dipakai ke SemuaOperator sd 5hr?Pembayaran Rp10000 & BeaJasa Rp3000 akan dipotong saat isi Pulsa.Balas YA ke 505 /tkn*505#,10/25/2017 17:39,3,26,3,0.115384615,0.115384615,17,DAY,FALSE
ham,(CITITRANS)CT: Please use this code to verify your number : 622319,10/17/2017 21:52,2,11,1,0.181818182,0.090909091,21,NIGHT,TRUE
spam,Terimakasih telah menggunakan internet di Jaringan data terkuat IndosatOoredoo 4Gplus. Info: *123# atau http://mycare.indosatooredoo.com,2/23/2017 1:03,0,15,1,0,0.066666667,1,MORNING,FALSE
ham,"De, dimana ?",3/27/2018 22:56,0,2,0,0,0,22,NIGHT,TRUE
ham,Permintaan Collect SMS Kamu tidak diproses.,3/26/2018 15:57,1,6,0,0.166666667,0,15,DAY,FALSE
spam,"Superhero dari Marvel kini hadir di iflix, tonton Iron Man, Captain Amerika, Thor di iflix BEBAS LANGGANAN 3 bulan. Unduh sekarang di http://im3.do/iflix CVI2",9/2/2017 14:52,3,27,1,0.111111111,0.037037037,14,DAY,FALSE
spam,PAKET BRONET 4G OWSEM 4GB sudah aktif. 1GB kuota utama+3GB kuota 4G berlaku di jam 00-23.59 s.d 13-03-2018.Info838,2/12/2018 9:21,6,23,5,0.260869565,0.217391304,9,MORNING,FALSE
ham,win internet akj xeh nih kayaknya,10/9/2017 21:53,0,6,0,0,0,21,NIGHT,TRUE
spam,"Disc 50% setiap Senin, 10% di hari lainnya di Coffee Bean dgn TCASH TAP! Dapatkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo",2/20/2017 12:04,4,24,2,0.166666667,0.083333333,12,DAY,FALSE
ham,Account notification: The password for your Google Account tiara.dwiputri94@gmail... was recently changed. google.com/password,8/18/2017 19:05,0,15,0,0,0,19,NIGHT,TRUE
ham,Tiara Dwiputri_OK_dr.Nur Dalilah,3/9/2017 5:47,0,3,0,0,0,5,MORNING,FALSE
ham,BNI SMS BANKING:17/08/2017 15:23 Nomor yang Anda masukkan salah atau tidak terdaftar. Info:hub BNI Call 1500046 atau Cabang BNI terdekat.,8/17/2017 15:23,5,24,6,0.208333333,0.25,15,DAY,FALSE
spam,Sisa kuota GAK AKAN HANGUS & dpt disimpan hg 100GB SETAHUN dgn DATAROLLOVER dr IM3Ooredoo!Gratis dgn pkt Internet bulanan IM3 Ooredoo http://im3.do/dr0424 BMI1,4/24/2018 11:42,8,26,0,0.307692308,0,11,DAY,FALSE
ham,"sebentar ya pak, lg ada bos saya, barangnya bisa diambil? nanti saya telpon lg kalau sudah bisa",5/5/2017 16:29,0,17,0,0,0,16,DAY,FALSE
spam,"Ciee yg dpt kesempatan menang Rp 75 Juta TANPA BIAYA dr AXIS! SELAMAT ya Km bs ikutan FANTAXIS!

Balas YA ke 99220 skrg!

Info: www.axisnet.id/fantaxis PFF11B",3/22/2018 14:32,7,27,2,0.259259259,0.074074074,14,DAY,FALSE
spam,"AGAR TIDAK DIBLOKIR, segera registrasi ulang kartu prabayar Anda. Telepon & SMS keluar diblokir mulai 1-31 Maret 2018. Ketik: ULANG#NIK#nomorKK#  SMS ke 4444",3/10/2018 14:40,7,25,4,0.28,0.16,14,DAY,FALSE
ham,boleh bu..bs dijadwalkan bu .. kalau ibu minta agak malam gpp saya malah bs bu .. tp kalau mau scpatnya mgkin besok dibuatkan notes nya saja.. sy biasa house call jam segini bu,2/20/2017 17:17,0,32,0,0,0,17,DAY,FALSE
ham,"ES 12th Anniversary! Cashback up to IDR 1,000,000 + 0% up to 12 months with Credit Card at all Electronic Solution stores.6 Oct-3 Dec 17. T&C apply. Info 14041",11/27/2017 10:31,2,31,6,0.064516129,0.193548387,10,DAY,FALSE
ham,"29/01/2018 10:46 Pada No. Rek 378088918 ada dana masuk sebesar Rp 5.500.000,00. Saldo akhir: Rp 6.455.189,00.Berita: 046 ALGORITMA DATA  Salary Algoritma 012018",1/29/2018 10:46,2,26,8,0.076923077,0.307692308,10,DAY,FALSE
spam,Mau nongkrong bareng teman di tanggal tua? Ayo tekan *123*510*3# . Dapatkan DISKON & GRATIS Nelp 60 menit. Trf Rp2.200/3hr. Info: 02172784605 SPI15,2/27/2018 12:22,3,24,5,0.125,0.208333333,12,DAY,FALSE
